Vehicle_Name,Name,Price,StockType,Distance_from_30332,Dealership,Year,Make,Model
2019 Toyota Tacoma,2019 Toyota Tacoma TRD Off Road,41975,Used,93,Landers McLarty Ford of Ft. Payne,2019,Toyota,Tacoma
2019 Toyota Highlander,2019 Toyota Highlander XLE,41500,Used,35,Volvo Cars Mall of Georgia,2019,Toyota,Highlander
2019 Toyota 4Runner,2019 Toyota 4Runner TRD Pro,52299,Used,139,EchoPark Automotive Greenville Delivery Center,2019,Toyota,4Runner
2005 Toyota Highlander,2005 Toyota Highlander ,8990,Used,153,Taylor Auto Sales-Lyman,2005,Toyota,Highlander
2018 Toyota Highlander,2018 Toyota Highlander Limited,42590,Used,183,Carvana-Touchless Delivery To Your Home,2018,Toyota,Highlander
2020 Toyota Camry,2020 Toyota Camry XSE,36050,Used,17,Nalley Toyota Stonecrest,2020,Toyota,Camry
2021 Toyota Sienna,2021 Toyota Sienna LE,45980,Toyota Certified,17,Nalley Toyota Stonecrest,2021,Toyota,Sienna
2014 Toyota Avalon,2014 Toyota Avalon XLE Touring,23990,Used,154,Carvana-Touchless Delivery To Your Home,2014,Toyota,Avalon
2018 Toyota RAV4,2018 Toyota RAV4 XLE,27894,Used,191,Peter Boulware Toyota of Columbia,2018,Toyota,RAV4
2020 Toyota Tacoma,2020 Toyota Tacoma SR5,37987,Toyota Certified,55,Riverside Toyota,2020,Toyota,Tacoma
2016 Toyota Highlander,2016 Toyota Highlander XLE,27495,Used,18,United BMW,2016,Toyota,Highlander
2010 Toyota Corolla,2010 Toyota Corolla LE,8428,Used,14,AutoNation Toyota Thornton Road,2010,Toyota,Corolla
2014 Toyota Camry,2014 Toyota Camry Hybrid XLE,18990,Used,11,Carvana-Touchless Delivery To Your Home,2014,Toyota,Camry
2017 Toyota Sienna,2017 Toyota Sienna LE,25393,Used,18,Stone Mountain Toyota,2017,Toyota,Sienna
2014 Toyota Corolla,2014 Toyota Corolla LE,13995,Used,27,Cherokee Auto Sales,2014,Toyota,Corolla
2018 Toyota Camry,2018 Toyota Camry SE,24127,Used,161,Fox Toyota,2018,Toyota,Camry
2018 Toyota Sequoia,2018 Toyota Sequoia Limited,54857,Used,9,Nalley Lexus Galleria,2018,Toyota,Sequoia
2020 Toyota Corolla,2020 Toyota Corolla SE,24998,Used,170,Tarr Chevrolet,2020,Toyota,Corolla
2018 Toyota Corolla,2018 Toyota Corolla SE,20998,Used,35,CarMax Buford - Now offering Curbside Pickup and Home Delivery,2018,Toyota,Corolla
2021 Toyota C-HR,2021 Toyota C-HR XLE,28626,Toyota Certified,13,Marietta Toyota,2021,Toyota,C-HR
2019 Toyota Tundra,2019 Toyota Tundra Limited,52397,Used,161,Fred Anderson Toyota of Asheville,2019,Toyota,Tundra
2018 Toyota Camry,2018 Toyota Camry LE,22988,Used,35,Mall of Georgia Mazda,2018,Toyota,Camry
2015 Toyota Tacoma,2015 Toyota Tacoma Base,24975,Used,107,Marshal Mize Ford,2015,Toyota,Tacoma
2017 Toyota Sienna,2017 Toyota Sienna XLE,30590,Used,154,Carvana-Touchless Delivery To Your Home,2017,Toyota,Sienna
2018 Toyota RAV4,2018 Toyota RAV4 Limited,28998,Used,34,Cherokee County Toyota,2018,Toyota,RAV4
2021 Toyota Sequoia,2021 Toyota Sequoia Limited,64758,Toyota Certified,161,Fox Toyota,2021,Toyota,Sequoia
2017 Toyota Corolla,2017 Toyota Corolla SE,15894,Used,149,Cullman Chrysler Dodge Jeep RAM,2017,Toyota,Corolla
2019 Toyota 4Runner,2019 Toyota 4Runner SR5 Premium,42992,Used,99,Toyota of Cleveland,2019,Toyota,4Runner
2018 Toyota Tundra,2018 Toyota Tundra SR5,43989,Used,12,EchoPark Automotive Atlanta (Marietta),2018,Toyota,Tundra
2020 Toyota Camry,2020 Toyota Camry LE,26957,Used,161,Fred Anderson Toyota of Asheville,2020,Toyota,Camry
